Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,5,8,-10,-4,-9,-9.996193351122503,-4.012989495849435,-9.00855953061802,0.2984612305196795,6.202181900007417
10,100,5,8,-10,-4,-9,-9.99663387196808,-4.111354420317737,-9.003633646545016,0.29839205509090666,5.907393600005889
10,100,5,8,-10,-4,-9,-9.997249053131009,-4.07133510927739,-8.962751184822421,0.2986918152822555,5.974174500006484
10,100,5,8,-10,-4,-9,-9.99715492681594,-4.011707092226535,-9.004296207961753,0.2984612305196795,5.819859999988694
10,100,5,8,-10,-4,-9,-9.972210483714948,-3.9772946026602884,-9.0905422103331,0.3014434601156629,5.92169489999651
10,100,2,8,8,4,-4,8.000512804910606,4.057756759927643,-3.9987262188238475,0.26607825010437164,9.042014200007543
10,100,2,8,8,4,-4,8.005071938044882,4.008356288528874,-3.9859741465074805,0.26580306232954476,9.058449600008316
10,100,2,8,8,4,-4,8.006170645968231,4.003025852956525,-3.9912012990594414,0.2658718592732514,9.09353579999879
10,100,2,8,8,4,-4,8.00359667405468,4.0013989708034385,-3.9950988566437537,0.2658718592732514,9.552958099986427
10,100,2,8,8,4,-4,8.00576383328085,4.003092796530666,-3.990025883252374,0.2658718592732514,9.088397300016368
10,100,2,8,8,4,-4,8.005709080062745,4.00875112970071,-3.9856697976720836,0.26580306232954476,9.187923899997259
10,100,2,8,19,2,-11,19.00322059055012,2.0003762786143207,-10.990799620776938,0.29499539873567215,9.31845219997922
10,100,2,8,19,2,-11,19.00270075893677,2.0008902109952564,-10.991761804126815,0.29499539873567215,9.47904710000148
10,100,2,8,19,2,-11,19.000588480497534,2.0009991537211804,-10.993378049717133,0.29499539873567215,9.309288799995556
10,100,2,8,19,2,-11,19.001885093598602,2.0001938337089156,-10.991271324671485,0.29499539873567215,9.354457900015404
10,100,2,8,19,2,-11,19.00159472715688,2.000543851598154,-10.992196336405001,0.29499539873567215,9.248650800000178
10,100,2,8,19,2,-11,19.00001279165658,2.001096180713628,-10.994120580546824,0.29499539873567215,9.276309299981222
10,100,2,8,14,-28,7,13.99016542994838,-27.998810156731082,7.101665878815703,0.3108094629934164,9.865726799995173
10,100,2,8,14,-28,7,14.000442824651719,-17.082274297346913,7.127397720665941,0.3963890251071795,9.906208100001095
10,100,2,8,14,-28,7,13.988845441388815,-27.995557909878567,7.1009702828987304,0.3108974354051287,9.873324599990156
10,100,2,8,14,-28,7,14.002704279142229,-15.56921158907259,6.99113404298053,0.39616029683672743,9.990093800006434
10,100,2,8,14,-28,7,14.003201340178927,-21.557926791267086,7.116535116176422,0.39611337821714754,9.862937800004147
10,100,2,8,14,-28,7,14.048587893171064,-27.99210444016057,6.964606251135742,0.3112405278108068,9.919134499999927
10,100,8,8,-17,-11,25,-17.03483584950418,-10.997833922426263,24.94306387338382,0.2909677316168273,8.48391690000426
10,100,8,8,-17,-11,25,-17.03591195309394,-10.99137875344671,25.01126618472657,0.29062641374683884,8.538280300010229
10,100,8,8,-17,-11,25,-17.079427195238992,-11.077272110554231,24.871418737351643,0.29504437089545404,8.488940199982608
10,100,8,8,-17,-11,25,-17.038237247563373,-11.009381035003823,24.996748268548863,0.2909102061331214,8.515037600009236
10,100,8,8,-17,-11,25,-17.024598398714545,-10.99858335926439,24.995751834994856,0.29061874368234475,8.455515999987256
10,100,8,8,-17,-11,25,-17.036414246976538,-10.97294457357094,25.013944437591473,0.2911518131646863,8.706237200007308
10,100,8,8,-6,1,-28,-5.995148167028482,1.0008635761141356,-28.008634309991606,0.2616329791544719,9.804286200000206
10,100,8,8,-6,1,-28,-5.992268255789822,1.006864152113279,-28.04423607567168,0.26148756691095126,9.4548758000019
10,100,8,8,-6,1,-28,-5.99199097507698,1.0071162146860428,-28.026618132361246,0.2613542723543907,9.44063160000951
10,100,8,8,-6,1,-28,-5.997065294809503,1.0062653540266797,-28.0458168048321,0.2614229392471643,9.361615800007712
10,100,8,8,-6,1,-28,-5.997996393579138,1.006429639272494,-28.044759390525513,0.2614229392471643,9.423831399995834
10,100,8,8,-6,1,-28,-5.998779904890419,1.0070692740426748,-28.02764148259688,0.2613542723543907,9.405791400000453
10,100,8,8,22,28,-10,22.00186123521954,14.928375821148942,-10.147703400815633,0.39110752324537346,10.298977599974023
10,100,8,8,22,28,-10,22.00189705226042,14.26509103342826,-10.228811542281147,0.3914321302072415,10.25916079999297
10,100,8,8,22,28,-10,22.05945711377548,28.001677713506826,-9.984713261795807,0.31352645935890333,9.920993200008525
10,100,8,8,22,28,-10,22.00022609934844,13.544617585041717,-10.03283134588167,0.3910373379563209,10.0209782999882
10,100,8,8,22,28,-10,22.003335653553318,17.56216176371033,-10.112776784248304,0.3907887650575931,10.266743999993196
10,100,8,8,22,28,-10,22.000646355835507,14.907712692107879,-10.187185037375874,0.3909817746024876,10.24151280001388
