Npart,Niter,posx,posy,Ix,Iy,Itheta,Ox,Oy,Otheta,f,t
10,100,5,2,-27,-28,21,-26.997108275406575,-1.8309708753081224,20.96934337245117,0.3411023359836228,7.084146999986842
10,100,5,2,-27,-28,21,-26.994095011939358,-1.8433187711178984,20.988904871080962,0.3411023359836228,7.466111499990802
10,100,5,2,-27,-28,21,-26.99478928762892,-1.8358084167298316,20.967875409723025,0.3411023359836228,7.279806699982146
10,100,5,2,-27,-28,21,-26.99864570657251,-1.835961509037378,20.996967455235307,0.34083721459657945,7.452915600006236
10,100,5,2,-27,-28,21,-26.999746186379422,-8.108420356844924,20.99809964498941,0.34200658928585975,7.316740499984007
10,100,5,2,-27,-28,21,-26.999801274132665,-3.1447273046408935,20.99716873960972,0.3414384720279098,7.420868699991843
10,100,5,2,20,-20,20,20.150889817729716,-7.221755086735303,19.58738977322521,0.35332059184330905,6.527506200014614
10,100,5,2,20,-20,20,20.000667618645238,9.615314155949665,20.026430874600074,0.3545707909174447,6.728655899991281
10,100,5,2,20,-20,20,20.02821086706761,-20.318532936338862,20.06727500200961,0.32087384816510417,7.3953156999778
10,100,5,2,20,-20,20,20.02249602023494,-7.34425236368569,20.05633077522551,0.34790571687253036,7.722163600003114
10,100,5,2,20,-20,20,19.966558809756737,30.0,19.95612436963067,0.376826378108321,5.807795799977612
10,100,5,2,20,-20,20,19.99090899755008,9.58734171471278,20.014857497553706,0.3551998719802264,7.065773400012404
10,100,5,2,-27,22,-26,-26.999498998573014,5.550147827216405,-25.987638043720132,0.34017826348114055,7.336229600012302
10,100,5,2,-27,22,-26,-26.999404250754043,5.573394940365259,-25.99713849715743,0.33988211154640824,7.273259000008693
10,100,5,2,-27,22,-26,-26.995230318501868,5.582104357532776,-25.99258552841107,0.34014482697238047,7.803086900006747
10,100,5,2,-27,22,-26,-26.994558526151323,11.427680814496856,-25.972659430810516,0.34123867847324657,7.327051500004018
10,100,5,2,-27,22,-26,-26.99476257508432,1.8336155470977293,-25.99103782333079,0.33951908659415575,8.639601299975766
10,100,5,2,-27,22,-26,-26.999300367933888,1.8354760258869396,-25.9974334687435,0.3394713201530699,7.377112999995006
10,100,8,2,20,28,26,20.00116458910543,15.943833394217053,25.87317926314742,0.3943313912773784,12.063457000011113
10,100,8,2,20,28,26,20.002880350456373,17.173905839991978,25.99145393288404,0.39375725012243734,10.935906600003364
10,100,8,2,20,28,26,20.00180676074912,15.958161096238653,25.865644431694708,0.3942810799390588,11.008160900004441
10,100,8,2,20,28,26,19.831810889427036,30.0,25.30238453599537,0.3762903372540759,10.883093500015093
10,100,8,2,20,28,26,20.004565502441615,13.516900510173732,26.005367812421426,0.39405319917137605,11.668850299989572
10,100,8,2,20,28,26,20.0381387509836,28.00219078577117,26.045641500349163,0.3134485162024345,10.087658300006296
10,100,8,2,-22,-20,-27,-21.999371117237875,-19.992181450689923,-27.00287369257396,0.3111832885457537,8.80569840001408
10,100,8,2,-22,-20,-27,-21.99701485643937,-19.998277376771263,-27.005318222576044,0.3112261665149869,9.206017599994084
10,100,8,2,-22,-20,-27,-21.997889903501935,-19.992401708733116,-27.002904639450033,0.3111832885457537,10.195960300014121
10,100,8,2,-22,-20,-27,-11.02878468177772,-19.998653665168224,-27.13041713827253,0.4479318519226962,9.210902299993904
10,100,8,2,-22,-20,-27,-21.999024748565642,-19.99512587023285,-26.99136431667833,0.3112904834688367,9.393123600020772
10,100,8,2,-22,-20,-27,-21.9995426828515,-19.994216779892618,-26.987256227414285,0.3112904834688367,9.869467100012116
10,100,8,2,21,25,-25,21.015952763729327,12.397702174614224,-24.97999530032318,0.38338264240908065,10.88941820000764
10,100,8,2,21,25,-25,3.9221529626221496,25.104142934372554,-25.328042766239033,0.41472904907715596,9.99998379999306
