Npart	Niter	posx	posy	Ix	Iy	Itheta	Ox	Oy	Otheta	f	t										
10	100	5	2	-8	6	-2	-7,999367863	5,939559191	-1,998843635	0,310419393	6,2096372										
10	100	5	2	-8	6	-2	-7,999603622	5,953365999	-1,99892415	0,310419393	6,1411548										
10	100	5	2	-8	6	-2	-7,998202355	5,981397932	-2,01609503	0,31069531	6,1275489										
10	100	5	2	-8	6	-2	-7,997312208	6,229721219	-1,972307572	0,310470726	6,2748326										
10	100	5	2	-8	6	-2	-7,996912363	5,98272138	-2,018914863	0,31069531	6,1355983										
10	100	5	2	-8	6	-2	-7,997818359	6,24045955	-1,983623572	0,310874977	6,0850607										
10	100	5	2	-25	-24	-7	-25,10823865	-13,73574826	-7,084892376	0,341153693	6,4011051										
10	100	5	2	-25	-24	-7	-25,1088512	-4,744061226	-7,048449619	0,339325363	6,660604										
10	100	5	2	-25	-24	-7	-25,12355669	-0,827929373	-6,87982882	0,339112449	6,6948626										
10	100	5	2	-25	-24	-7	-25,11539083	-3,189058304	-7,007391053	0,339447029	6,2895085										
10	100	5	2	-25	-24	-7	0,251578707	11,79346402	21,76688198	0,492545195	6,7479007										
10	100	5	2	-25	-24	-7	-25,1293731	-1,762929154	-7,039452252	0,339812026	6,2408872										
10	100	5	2	10	21	14	10,01209859	8,366307957	14,01768225	0,325448613	6,3810415										
10	100	5	2	10	21	14	10,00690304	20,54875051	14,031502	0,310919647	6,1690345										
10	100	5	2	10	21	14	10,00515321	-0,299001775	13,99661923	0,330855278	5,9413161										
10	100	5	2	10	21	14	10,00978075	8,346493697	14,02958776	0,325448613	6,601795										
10	100	5	2	10	21	14	10,04328679	20,47328484	14,10219997	0,31148155	6,1330297										
10	100	5	2	10	21	14	10,0068103	20,54118143	14,07140725	0,311380096	6,5121584										
10	100	8	2	26	-29	19	25,91136854	-29,11337278	19,21076442	0,352102772	6,7653025										
10	100	8	2	26	-29	19	26,50833914	-13,6087022	18,60776583	0,389587261	6,7967203										
10	100	8	2	26	-29	19	26,01098224	-13,21575144	19,01011706	0,389657974	6,7541188										
10	100	8	2	26	-29	19	25,96153867	-14,20157771	19,05354571	0,388146048	6,7684006										
10	100	8	2	26	-29	19	5,353987745	29,99998651	-20,96230707	0,488128204	6,6432686										
10	100	8	2	26	-29	19	7,544063446	-30	20,44367812	0,464855327	6,7633602										
10	100	8	2	-1	24	1	-0,999596336	23,99945782	1,003194257	0,297427703	9,5389207										
10	100	8	2	-1	24	1	-0,998595547	24,01348362	1,004898506	0,297547462	9,6067059										
10	100	8	2	-1	24	1	-0,99353554	24,01265677	1,047422089	0,297648312	9,6476173										
10	100	8	2	-1	24	1	-0,996244904	23,99009885	1,055328734	0,297859466	10,3584676										
10	100	8	2	-1	24	1	-0,99732739	23,9994174	1,005151795	0,297427703	9,6100119										
10	100	8	2	-1	24	1	-0,993857024	23,99959322	1,008277873	0,297550613	9,697932										
10	100	8	2	1	9	-9	1,00308011	8,957209584	-8,893591068	0,257622145	9,4698604										
10	100	8	2	1	9	-9	1,00026825	9,003969325	-9,004557345	0,256792958	9,5821805										
10	100	8	2	1	9	-9	1,00503011	9,005173744	-9,010514555	0,256792958	9,3267024										
10	100	8	2	1	9	-9	1,004558334	9,004826239	-9,051299072	0,256912552	9,4148993										
10	100	8	2	1	9	-9	1,003841972	9,00568248	-9,010137368	0,256792958	9,5656809										
10	100	8	2	1	9	-9	1,005721548	9,003934817	-9,008520137	0,256792958	9,4837315										
10	100	8	2	0	3	-11	0,002215515	3,003254422	-10,81777933	0,261022415	9,4309701										
10	100	8	2	0	3	-11	0,001997915	2,929103627	-10,94826285	0,261554588	9,3979559										
10	100	8	2	0	3	-11	0,00436999	2,90538188	-10,97294877	0,261558619	9,4771602										
10	100	8	2	0	3	-11	0,005706356	2,907771088	-10,97184784	0,261558619	10,1445632										
10	100	8	2	0	3	-11	0,000976146	3,003923301	-10,86642892	0,261228027	9,4612857										
10	100	8	2	0	3	-11	0,005214335	3,002803374	-10,82338697	0,261143364	9,7751507										
10	100	8	2	18	-28	-23	18,01060037	-16,1908118	-23,0105739	0,367294053	9,108871										
10	100	8	2	18	-28	-23	18,05106804	-17,1564194	-22,95709477	0,367864405	8,1964627										
10	100	8	2	18	-28	-23	18,04349246	-14,60992214	-22,95389015	0,367277521	8,1460852										
10	100	8	2	18	-28	-23	18,0132026	-14,7218802	-22,85948938	0,36720726	7,658138										
10	100	8	2	18	-28	-23	18,04553989	-16,1957806	-23,0384311	0,367546165	8,2810672										
10	100	8	2	18	-28	-23	18,02789339	-14,61261694	-22,95466431	0,367277521	8,2057371										
10	100	8	2	-8	-22	-26	-7,997426766	-21,99575636	-25,99533929	0,286585571	9,4887827										
10	100	8	2	-8	-22	-26	-7,996539427	-21,98942882	-25,99326603	0,286585571	9,665777										
10	100	8	2	-8	-22	-26	-7,99506517	-21,98634961	-25,88843862	0,287544585	9,3043808										
10	100	8	2	-8	-22	-26	-7,997874351	-21,99685544	-25,99680516	0,286585571	8,9585174										
10	100	8	2	-8	-22	-26	-7,99984058	-13,84707038	-26,00154358	0,349497234	9,3584845										
10	100	8	2	-8	-22	-26	-7,998895767	-21,99653134	-25,99979701	0,286274311	8,9042887										
10	100	8	2	11	-24	10	11,00384212	-23,99809576	10,00200331	0,291530691	8,4666474										
10	100	8	2	11	-24	10	11,00358999	-23,98899385	10,00521036	0,291530691	9,2617329										
10	100	8	2	11	-24	10	11,00119684	-23,99196182	10,00430176	0,291530691	8,4229986										
10	100	8	2	11	-24	10	11,00737218	-23,99714862	9,999022344	0,292048692	8,3233457										
10	100	8	2	11	-24	10	11,00257726	-16,2655167	10,05825333	0,35414832	8,1995957										
10	100	8	2	11	-24	10	11,0008961	-23,99068432	10,00396516	0,291530691	8,4515757										
10	100	8	2	25	16	-16	25,10604504	15,92288408	-15,77498468	0,305889423	10,3656461										
10	100	8	2	25	16	-16	25,09532186	16,12153322	-16,11369154	0,307625534	10,2734255										
10	100	8	2	25	16	-16	25,09818503	16,14621166	-16,07475198	0,307822675	10,5221428										
10	100	8	2	25	16	-16	25,09352844	16,00140961	-15,61956568	0,305466524	9,9356774										
10	100	8	2	25	16	-16	25,09963209	15,97092918	-15,58444689	0,30601661	10,4984615										
10	100	8	2	25	16	-16	12,32855632	16,00291629	-16,05507525	0,425623855	9,9783368										
10	100	8	2	-3	-12	-10	-2,999140878	-11,99766453	-10,00171157	0,274828399	9,0007222										
10	100	8	2	-3	-12	-10	-2,998171912	-11,9955402	-9,977422623	0,274873775	9,738459										
10	100	8	2	-3	-12	-10	-2,994422708	-11,9933022	-9,985489363	0,274873775	8,8974519										
10	100	8	2	-3	-12	-10	-2,995175312	-11,99924814	-9,979234972	0,274873775	9,6642155										
10	100	8	2	-3	-12	-10	-2,997666594	-11,99362297	-9,989666828	0,274873775	9,6294222										
10	100	8	2	-3	-12	-10	-2,994493296	-11,99477779	-9,978743449	0,274873775	9,9643243										
10	100	5	5	8	3	-13	7,493757847	3,001673188	-13,03289086	0,23104527	3,7419479										
10	100	5	5	8	3	-13	7,539344492	3,001586174	-12,99191121	0,231198625	3,8086177										
10	100	5	5	8	3	-13	8,439134135	3,006831606	-12,99486591	0,231004375	3,7245077										
10	100	5	5	8	3	-13	8,4669356	3,001052411	-13,02456583	0,231106612	3,7920058										
10	100	5	5	8	3	-13	8,457488016	3,003784296	-13,00973717	0,231106612	3,7373305										
10	100	5	5	8	3	-13	8,415010137	3,000481865	-12,96111234	0,231004375	3,7671969										
10	100	5	5	-23	4	-13	-21,41714399	4,344814978	-12,27251245	0,241551732	3,3539732										
10	100	5	5	-23	4	-13	-22,97092179	4,00131447	-12,97800683	0,247453163	3,4216901										
10	100	5	5	-23	4	-13	-22,95710679	4,003115018	-12,99499914	0,247453163	3,3743995										
10	100	5	5	-23	4	-13	-22,63139214	4,347257545	-12,11085646	0,239418929	3,4146632										
10	100	5	5	-23	4	-13	-22,79913739	4,003432774	-12,95958027	0,247917205	3,4142222										
10	100	5	5	-23	4	-13	-22,59187605	4,336778397	-12,15216159	0,239928432	3,4200769										
10	100	5	5	-1	-19	-26	-0,986416641	-18,99510613	-25,9826653	0,253730355	4,278988										
